iter	Passed	Remaining
667	2636	1310
668	2639	1306
669	2642	1301
670	2645	1297
671	2649	1293
672	2653	1289
673	2656	1285
674	2660	1280
675	2663	1276
676	2666	1272
677	2669	1267
678	2672	1263
679	2675	1259
680	2678	1254
681	2681	1250
682	2684	1245
683	2687	1241
684	2690	1237
685	2693	1233
686	2696	1228
687	2699	1224
688	2702	1220
689	2707	1216
690	2711	1212
691	2714	1208
692	2717	1203
693	2721	1199
694	2724	1195
695	2727	1191
696	2730	1186
697	2733	1182
698	2737	1178
699	2740	1174
700	2743	1170
701	2747	1166
702	2751	1162
703	2754	1158
704	2757	1153
705	2761	1149
706	2765	1146
707	2768	1141
708	2771	1137
709	2774	1133
710	2778	1129
711	2782	1125
712	2786	1121
713	2789	1117
714	2793	1113
715	2796	1109
716	2799	1105
717	2803	1101
718	2806	1096
719	2810	1092
720	2813	1088
721	2816	1084
722	2819	1080
723	2823	1076
724	2826	1072
725	2828	1067
726	2832	1063
727	2836	1059
728	2841	1056
729	2845	1052
730	2848	1048
731	2852	1044
732	2856	1040
733	2860	1036
734	2863	1032
735	2868	1028
736	2872	1025
737	2875	1021
738	2879	1016
739	2883	1013
740	2886	1008
741	2890	1005
742	2895	1001
743	2898	997
744	2901	993
745	2905	989
746	2908	984
747	2912	981
748	2915	977
749	2918	972
750	2922	968
751	2927	965
752	2931	961
753	2935	957
754	2938	953
755	2942	949
756	2946	945
757	2950	942
758	2955	938
759	2959	934
760	2962	930
761	2965	926
762	2968	922
763	2971	917
764	2974	913
765	2978	909
766	2980	905
767	2984	901
768	2988	897
769	2991	893
770	2994	889
771	2998	885
772	3002	881
773	3005	877
774	3009	873
775	3013	869
776	3017	865
777	3021	862
778	3025	858
779	3029	854
780	3032	850
781	3036	846
782	3038	842
783	3043	838
784	3046	834
785	3049	830
786	3052	826
787	3055	821
788	3060	818
789	3063	814
790	3066	810
791	3069	806
792	3073	802
793	3076	798
794	3079	794
795	3082	789
796	3086	786
797	3090	782
798	3093	778
799	3095	773
800	3098	769
801	3102	765
802	3105	761
803	3108	757
804	3111	753
805	3116	750
806	3119	746
807	3122	742
808	3125	738
809	3128	733
810	3132	729
811	3135	725
812	3138	721
813	3142	718
814	3146	714
815	3149	710
816	3152	706
817	3154	701
818	3157	697
819	3161	693
820	3163	689
821	3167	685
822	3171	682
823	3174	678
824	3177	674
825	3180	670
826	3183	666
827	3186	662
828	3190	658
829	3193	654
830	3197	650
831	3200	646
832	3204	642
833	3207	638
834	3210	634
835	3213	630
836	3216	626
837	3219	622
838	3223	618
839	3226	614
840	3229	610
841	3233	606
842	3237	602
843	3240	598
844	3243	594
845	3246	590
846	3250	587
847	3253	583
848	3257	579
849	3261	575
850	3265	571
851	3268	567
852	3271	563
853	3275	559
854	3279	556
855	3282	552
856	3285	548
857	3288	544
858	3293	540
859	3296	536
860	3299	532
861	3302	528
862	3307	525
863	3311	521
864	3314	517
865	3317	513
866	3320	509
867	3323	505
868	3326	501
869	3329	497
870	3332	493
871	3336	489
872	3339	485
873	3342	481
874	3345	477
875	3349	474
876	3352	470
877	3356	466
878	3360	462
879	3365	458
880	3369	455
881	3373	451
882	3376	447
883	3380	443
884	3384	439
885	3388	435
886	3392	432
887	3396	428
888	3400	424
889	3403	420
890	3406	416
891	3410	412
892	3414	409
893	3418	405
894	3421	401
895	3424	397
896	3427	393
897	3430	389
898	3433	385
899	3437	381
900	3442	378
901	3445	374
902	3449	370
903	3452	366
904	3455	362
905	3458	358
906	3461	354
907	3464	350
908	3467	347
909	3470	343
910	3474	339
911	3477	335
912	3479	331
913	3483	327
914	3485	323
915	3488	319
916	3492	316
917	3494	312
918	3498	308
919	3501	304
920	3504	300
921	3507	296
922	3511	292
923	3514	289
924	3517	285
925	3520	281
926	3523	277
927	3527	273
928	3531	269
929	3534	266
930	3537	262
931	3540	258
932	3543	254
933	3546	250
934	3549	246
935	3554	243
936	3557	239
937	3560	235
938	3563	231
939	3566	227
940	3569	223
941	3572	219
942	3575	216
943	3578	212
944	3582	208
945	3585	204
946	3588	200
947	3591	197
948	3594	193
949	3598	189
950	3601	185
951	3604	181
952	3608	177
953	3612	174
954	3616	170
955	3618	166
956	3621	162
957	3624	158
958	3628	155
959	3631	151
960	3635	147
961	3638	143
962	3642	139
963	3645	136
964	3648	132
965	3651	128
966	3654	124
967	3658	120
968	3661	117
969	3664	113
970	3667	109
971	3671	105
972	3673	101
973	3676	98
974	3679	94
975	3682	90
976	3686	86
977	3690	83
978	3693	79
979	3696	75
980	3700	71
981	3704	67
982	3707	64
983	3710	60
984	3713	56
985	3717	52
986	3721	49
987	3724	45
988	3727	41
989	3730	37
990	3734	33
991	3737	30
992	3741	26
993	3745	22
994	3749	18
995	3752	15
996	3755	11
997	3759	7
998	3762	3
999	3765	0
